Master	1134
Gentleman	1135
Gentleman	1136
Gentleman	1141
Esquire	917
Gentleman	1147
Gentleman	1137
Esquire	1139
Gentleman	1140
Gentleman	1142
Gentleman	1143
Gentleman	1146
Gentleman	1148
Esquire	1150
Gentleman	1155
Gentleman	1160
Sir	1161
Knight	1161
Gentleman	1163
Esquire	1175
Sir	1176
Knight	1176
Signor	1179
Sir	1181
Knight	1181
Student	1183
Author	1183
J.V.	1183
Doctor	1186
of St John's College, Oxford	1186
Doctor	1188
of St John's College, Oxford	1188
Doctor	1189
of St John's College, Oxford	1189
Master	1196
Author	1196
Master of Arts	1196
Aulae Clarensis	1196
Master	1197
Author	1197
Master of Arts	1197
Aulae Clarensis	1197
Master	1199
Author	1199
of Trinity College, Cambridge	1199
Socio	1199
Author	1201
Author	1202
Author	1206
Author	1212
Master	5000
Chaplain	5000
Master	5002
Chaplain	5002
Master of Arts	174
Esquire	5006.01
of Gray's Inn	5006.01
of Gray's Inn	5006.02
Esquire	5007
Gentleman	1145
Esquire	5007.02
of Gray's Inn	5007.02
of Gray's Inn	5007.03
Esquire	5008
Gentleman	5014
Fellow	5015.02
of Gray's Inn	5009.03
Esquire	5009.02
of Gray's Inn	5009.02
Esquire	5010
Author	5030
Sir	5030
Knight	5030
Author	5031
Sir	5031
Knight	5031
Sir	5056
of the Mont	5056
Sir	5057
of the Mont	5057
Sir	5058
Knight	5058
of the Mont	5058
Author	5032
Sir	5032
Knight	5032
Author	5033
Sir	5033
Knight	5033
Gentleman	5061
of the Privy Chamber	5061
Gentleman	5061.01
of the Privy Chamber	5061.01
Gentleman	5061.02
of the Privy Chamber	5061.02
Gentleman	5061.03
of the Privy Chamber	5061.03
Groom	5064
of the Privy Chamber	5064
Groom	5065
of the Privy Chamber	5065
Groom	5066
of the Privy Chamber	5066
Sir	5034
Knight	5034
Sir	5035
Knight	5035
Sir	5062
Knight	5062
Sir	5062.02
Knight	5062.02
Sir	5062.03
Knight	5062.03
Sir	5062.04
Knight	5062.04
Author	5074.02
Author	5074.03
Author	5074.04
Author	5074.05
Author	5074.01
Author	5074.06
Author	5074.07
Author	5074.08
Author	5074.09
Author	5074.10
Author	5074.17
Author	5074.18
Author	5074.11
Author	5074.12
Author	5074.16
Author	5074.15
Author	5074.13
Author	5074.14
Gentleman	5077
Groom	5080
Esquire	5080
Sir	5036
Knight	5036
Sir	5037
Knight	5037
Sir	5038
Knight	5038
Sir	5039
Knight	5039
Esquire	5079
Master	5081
Sir	5040
Knight	5040
Sir	5041
Knight	5041
Esquire	5042
Sir	5042
Knight	5042
of Lincoln's Inn	5042
Esquire	5043
Sir	5043
Knight	5043
of Lincoln's Inn	5043
Author	5097.02
Author	5097.04
Author	5097.03
Master of Arts	5098
Gentleman	5172
Master	5082
Lord	5101
Master	5083
Master	5084
Master	5085
Master	5086
Master	5087
Master	5088
Master	5089
Esquire	5044
Sir	5044
Knight	5044
of Lincoln's Inn	5044
Servant to his Catholic Majesty	5104.01
Earl	5106
Fellow	5111
Master of Arts	5111
of Trinity College, Cambridge	5111
Author	5107
Master	5045
Sir	5045
Knight	5045
Scoto-Brit	5045
Author	5118.01
Author	5118.02
Author	5118.03
Author	5118.05
Author	5118.09
Author	5118.10
Gentleman	5126
Esquire	5126
of the Privy Chamber	5126
Author	5076.02
Author	5076.01
Author	5076.03
Author	5076.04
Author	5076.10
Author	5076.11
Author	5076.05
Author	5076.06
Author	5076.09
Author	5076.08
Author	5076.07
Author	5120
Master	5133
Author	5121
Gentleman	1108
Fellow	5112
Master of Arts	5112
of Trinity College, Cambridge	5112
Fellow	5113
Master of Arts	5113
of Trinity College, Cambridge	5113
Gentleman	5130
Gentleman	5130.01
Gentleman	5132
Gentleman	5132.01
Gentleman	5132.02
Gentleman	5127
Esquire	5127
Sewer in Ordinary to His Majesty	5127
of the Privy Chamber	5127
Fellow	5114
Master of Arts	5114
of Trinity College, Cambridge	5114
Fellow	5114.04
Master of Arts	5114.04
of Trinity College, Cambridge	5114.04
Fellow	5114.03
Master of Arts	5114.03
of Trinity College, Cambridge	5114.03
Author	5133.02
Sir	5135
Sir	5135.01
Sir	5135.02
Sir	5135.04
Sir	5135.03
Sir	5136
Sir	5137
Gentleman	5141
of Gray's Inn	5141
Gentleman	5143
Author	5143
Gentleman	5143.34
Sir	5138.02
Sir	5138
Sir	5138.01
Gentleman	5142
of Gray's Inn	5142
Sir	5138.03
Gentleman	5128
Esquire	5128
Sewer in Ordinary to His Majesty	5128
of the Privy Chamber	5128
Gentleman	5129
Esquire	5129
Sewer in Ordinary to His Majesty	5129
of the Privy Chamber	5129
Master	5146
Student	5146
of Christ Church, Oxford	5146
Proctor of the University of Oxford	5146
Servant to the King	5146
Master	5146.02
Student	5146.02
of Christ Church, Oxford	5146.02
Proctor of the University of Oxford	5146.02
Master	5146.01
Student	5146.01
of Christ Church, Oxford	5146.01
Proctor of the University of Oxford	5146.01
Master of Arts	5146.03
of Christ Church, Oxford	5146.03
Gentleman	5165.02
Gentleman	5165.03
Sir	5046
Knight	5046
Master	5146.04
Student	5146.04
of Christ Church, Oxford	5146.04
Proctor of the University of Oxford	5146.04
Master	5146.05
Student	5146.05
of Christ Church, Oxford	5146.05
Proctor of the University of Oxford	5146.05
Gentleman	5147.01
Fellow	5116
Master of Arts	5116
of Trinity College, Cambridge	5116
Fellow	5117
Master of Arts	5117
of Trinity College, Cambridge	5117
Fellow	5116.05
Master of Arts	5116.05
of Trinity College, Cambridge	5116.05
Gentleman	5150
Master	5150.01
Gentleman	5151
Gentleman	5165
Gentleman	5165.01
Esquire	5158
Esquire	5158.01
Esquire	5158.02
Gentleman	5161
Gentleman	5162
Author	5163
Student	5169
Author	5169
Master of Arts	5169
Student	5169.01
Master of Arts	5169.01
Student	5169.02
Master of Arts	5169.02
Student	5169.03
Master of Arts	5169.03
Gentleman	5170
Gentleman	5170.01
Gentleman	5170.02
Gentleman	5171
Gentleman	5171.01
