deep_id	collection	greg_full	work_id
415		224c	224
416		224d	224
417		225a	225
418		225b	225
419		226a	226
420		227a	227
421		228a	228
422		228b(*)	228
423		228b(†)	228
424		228b(§)	228
425		229a	229
426		230a	230
427		230b	230
428		231a(i)	231
429		231a(ii)	231
430		232a(i)	232
431		232a(ii*)	232
432		232a(ii†)	232
433		233a	233
434		234a	234
435		234b	234
436		234c	234
437		234d	234
438		234e	234
439		234f(i)	234
440		234f(ii)	234
441		234g	234
442		235a(*)	235
443		235a(†)	235
444		235b	235
445		"236a(*1, *2)"	236
446		"236a(*1, †2)"	236
447		"236a(†1, *2)"	236
448		"236a(†1, †2)"	236
449		237a	237
450		238a	238
451		239a	239
452		239b	239
453		239c	239
454		239d	239
455		239e	239
456		239f(i)	239
457		239f(ii)	239
458		240a(*)	240
459		240a(†)	240
460		241a	241
461		242a	242
462		242b	242
463		242c	242
464		243a	243
465		243b	243
466		244a	244
467		244b	244
468		245a(*)	245
469		245a(†)	245
470		245b(i)	245
471		245b(ii)	245
472		246a(*)	246
473		246a(†)	246
474		246b(i)	246
475		246b(ii)	246
476		246b(iii)	246
477		246b(iv)	246
478		247a	247
479		247b	247
480		247c	247
481		247d	247
482		248a(i)	248
483		248a(ii)	248
484		249a	249
485		249b	249
486		249c	249
487		249d	249
488		250a	250
489		251a	251
490		252a	252
491		253a(*)	253
492		253a(†)	253
493		254a(i)	254
494		254a(ii)	254
495		255a	255
496		255b	255
497		255c	255
498		255d	255
499		256a	256
500		256b	256
501		257a	257
502		258a	258
503		258b	258
504		259a(i)	259
505		259a(ii)	259
506		262a(i)	262
507		262a(ii)	262
508		262b	262
509		263a	263
510		263a	263
511		264a	264
512		264b	264
513		264c	264
514		264d	264
515		264e	264
516		264f	264
517		265a	265
518		265b	265
519		265e	265
520		266a	266
521		267a	267
522		268a	268
523		272a	272
524		272b	272
525		273a	273
526		273b	273
527		273c	273
528		273d	273
529		273e	273
530		276a	276
531		276b	276
532		277a(cancel)	277
533		277a(*)	277
534		277a(†)	277
535		277b	277
536		278a(*)	278
537		278a(†)	278
538		279a(i)	279
539		279a(ii)	279
540		280a	280
541		281a(i)	281
542		281a(ii*)	281
543		281a(ii†)	281
544		282a	282
545		283a	283
546		284a	284
547		284b	284
548		284c	284
549		284e(*)	284
550		284e(†)	284
551		284f	284
552		285a	285
553		286a	286
554		286b	286
555		287a	287
556		287b	287
557		287c	287
558		287d	287
559		288a	288
560		289a	289
561		290a	290
562		292a	292
563		292b	292
564		292c	292
565		293a(*)	293
566		293a(†)	293
567		294a	294
568		295a	295
569		295b	295
570		296a	296
571		296c	296
572		296d	296
573		297a	297
574		298a	298
575		299a	299
576		300a	300
577		301a	301
578		302a	302
579		303a	303
580		304c(i)	304
581		304c(ii)	304
582		305a	305
583		306a	306
584		306b	306
585		307a	307
586		308a(i)	308
587		308a(ii)	308
588		309a	309
589		309a(cancel)	309
590		310a(*)	310
591		310a(†)	310
592		310b	310
593		311a(*)	311
594		312a	312
595		313a	313
596		313a	313
597		314a(*)	314
598		314a(†)	314
599		315a(i)	315
600		315a(ii)	315
601		315b	315
602		315c(i)	315
603		315c(ii)	315
604		316a	316
605		316b	316
606		317a	317
607		320a(*)	320
608		320a(†)	320
609		321a	321
610		322a	322
