deep_id	collection	greg_full	work_id
5078.08		376a	376
5078.09		377a	377
5078.10		378a	378
5079	c35a(i)	n/a	2035
5079.01		223e	223
5079.02		325b	325
5079.03		227d	227
5079.04		207c	207
5079.05		132i	132
5080	c35a(ii)	n/a	2035
5081	c36a	n/a	2036
5081.01		390a	390
5081.02		391a	391
5081.03		187c	187
5081.04		392a	392
5081.05		393a	393
5081.06		168b	168
5081.07		150b	150
5081.08		170c	170
5081.09		172c	172
5081.10		394a	394
5081.11		120d	120
5081.12		395a	395
5081.13		396a	396
5081.14		397a	397
5081.15		398a	398
5081.16		141f	141
5081.17		145h	145
5081.18		167b	167
5081.19		165d	165
5081.20		399a	399
5081.21		119d	119
5081.22		138d	138
5081.23		142g	142
5081.24		400a	400
5081.25		279b	279
5081.26		401a	401
5081.27		117d	117
5081.28		143d	143
5081.29		402a	402
5081.30		403a	403
5081.31		404a	404
5081.32		197e	197
5081.33		265c	265
5081.34		379b	379
5081.35		405a	405
5081.36		406a	406
5082	c36b(i*)	n/a	2036
5082.01		390b	390
5082.02		391b	391
5082.03		187e	187
5082.04		392b	392
5082.05		393b	393
5082.06		168c	168
5082.07		150d	150
5082.08		170d	170
