deep_id	greg	stc	author_name	title12	11a	22607	Skelton, John	Magnificence
187	121c	G1828	Greene, Robert	Friar Bacon and Friar Bongay
188	122a	16678	Lodge, Thomas	The Wounds of Civil War, or Marius and Scilla
191	124a	25781	Wilson, Robert	The Cobbler's Prophecy
196	128a	17441	Marlowe, Christopher	Dido, Queen of Carthage
196	128a	17441	Nashe, Thomas	Dido, Queen of Carthage
197	129a	17437	Marlowe, Christopher	Edward the Second
198	129b	17438	Marlowe, Christopher	Edward the Second
199	129c*	17439	Marlowe, Christopher	Edward the Second
200	129c†	17439.5	Marlowe, Christopher	Edward the Second
201	129d*	17440	Marlowe, Christopher	Edward the Second
202	129d†	17440a	Marlowe, Christopher	Edward the Second
204	130aii	12310b	G., T.	1 Selimus
206	132d	in 6261	Daniel, Samuel	Cleopatra
207	133a	17423	Marlowe, Christopher	The Massacre at Paris
209	135a	20002	W., W.	Menaechmi
209	135a	20002	Plautus	Menaechmi
210	136a	21528	S., W.	Locrine
211	137a	19545	P., G.	The Old Wives Tale
218	141b	22308	Shakespeare, William	Richard the Second
219	141c	22309	Shakespeare, William	Richard the Second
220	141d*	22310	Shakespeare, William	Richard the Second
221	141d†	22311	Shakespeare, William	Richard the Second
222	141e	22312	Shakespeare, William	Richard the Second
223	141h*	22313	Shakespeare, William	Richard the Second
224	141h†	22313	Shakespeare, William	Richard the Second
226	142b	22315	Shakespeare, William	Richard the Third
227	142c	22316	Shakespeare, William	Richard the Third
228	142d	22317	Shakespeare, William	Richard the Third
229	142e	22318	Shakespeare, William	Richard the Third
230	142f	22319	Shakespeare, William	Richard the Third
231	142h	22320	Shakespeare, William	Richard the Third
232	142j	22321	Shakespeare, William	Richard the Third
237	143e†	22325a	Shakespeare, William	Romeo and Juliet
238	143g	22326	Shakespeare, William	Romeo and Juliet
239	144a	17090	Lyly, John	The Woman in the Moon
242	145c	22281	Shakespeare, William	1 Henry the Fourth
243	145d	22282	Shakespeare, William	1 Henry the Fourth
244	145e	22283	Shakespeare, William	1 Henry the Fourth
245	145f	22284	Shakespeare, William	1 Henry the Fourth
246	145g	22285	Shakespeare, William	1 Henry the Fourth
247	145i	22286	Shakespeare, William	1 Henry the Fourth
248	145k	22287	Shakespeare, William	1 Henry the Fourth
249	146a	4965	Chapman, George	The Blind Beggar of Alexandria (Irus)
250	147ai	3544	Brandon, Samuel	The Virtuous Octavia
251	147aii	3544	Brandon, Samuel	The Virtuous Octavia
255	149a	12308	Greene, Robert	The Scottish History of James the Fourth
256	150a	22294	Shakespeare, William	Love's Labor's Lost
257	150c	22295	Shakespeare, William	Love's Labor's Lost
275	156a	12233	G., R.	Alphonsus, King of Aragon
278	159a*	4987	C., G.	An Humorous Day's Mirth (The Comedy of Humors)
279	159a†	4987	C., G.	An Humorous Day's Mirth (The Comedy of Humors)
280	160a	19540	Peele, George	The Love of David and Fair Bathsheba
281	161a	20121.5	Porter, Henry	1 The Two Angry Women of Abingdon
282	161b	20122	Porter, Henry	1 The Two Angry Women of Abingdon
284	163a	14767	J., B.	Every Man Out of His Humor
285	163b	14768	J., B.	Every Man Out of His Humor
286	163c	14769	J., B.	Every Man Out of His Humor
292	166b	18796	Shakespeare, William	1 Sir John Oldcastle
293	167ai	22288	Shakespeare, William	2 Henry the Fourth
294	167aii	22288a	Shakespeare, William	2 Henry the Fourth
295	168a	22304	Shakespeare, William	Much Ado About Nothing
297	170a	22302	Shakespeare, William	A Midsummer Night's Dream
298	170b	22303	Shakespeare, William	A Midsummer Night's Dream
301	172a	22296	Shakespeare, William	The Merchant of Venice (The Jew of Venice)
302	172b	22297	Shakespeare, William	The Merchant of Venice (The Jew of Venice)
303	172ei	22298	Shakespeare, William	The Merchant of Venice (The Jew of Venice)
304	172eii	Wing S2938	Shakespeare, William	The Merchant of Venice (The Jew of Venice)
305	173a	18376	Nashe, Thomas	Summer's Last Will and Testament
313	176a	14766	Jonson, Ben	Every Man in His Humor
317	178a	17082	Lyly, John	Love's Metamorphosis
320	181ai	14773	Jonson, Ben	Cynthia's Revels, or The Fountain of Self-Love
321	181aii	14773	Jonson, Ben	Cynthia's Revels, or The Fountain of Self-Love
322	182a	26076	Yarington, Robert	Two Lamentable Tragedies
326	185a	17474	M., J.	Antonio's Revenge (2 Antonio and Mellida)
327	186a	14781	Jonson, Ben	Poetaster, or The Arraignment
329	187b	22300	Shakespeare, William	The Merry Wives of Windsor
325	184a	17473	M., J.	Antonio and Mellida
328	187a	22299	Shakespeare, William	The Merry Wives of Windsor
330	187d	22301	Shakespeare, William	The Merry Wives of Windsor
332	189a	21532	S., W.	Thomas Lord Cromwell
333	189b	21533	S., W.	Thomas Lord Cromwell
343	195a*	6520.7	Dekker, Thomas	Satiromastix, or The Untrussing of the Humorous Poet
344	195a†	6521	Dekker, Thomas	Satiromastix, or The Untrussing of the Humorous Poet
345	196a	349	Alexander, William	Darius
369	205a	17429	Marlowe, Christopher	Doctor Faustus
370	205b	17430	Marlowe, Christopher	Doctor Faustus
371	205c	17431	Marlowe, Christopher	Doctor Faustus
346	196b	350	Alexander, William	Darius
347	197a	22275	Shakespeare, William	Hamlet, Prince of Denmark
348	197b*	22276	Shakespeare, William	Hamlet, Prince of Denmark
349	197b†)	22276a	Shakespeare, William	Hamlet, Prince of Denmark
350	197c	22277	Shakespeare, William	Hamlet, Prince of Denmark
351	197d	22278	Shakespeare, William	Hamlet, Prince of Denmark
352	197g	22279	Shakespeare, William	Hamlet, Prince of Denmark
356	202a	6510	Dekker, Thomas	The Magnificent Entertainment Given to King James (The Entertainment through London)
357	202b	6513	Dekker, Thomas	The Magnificent Entertainment Given to King James (The Entertainment through London)
358	202c	6512	Dekker, Thomas	The Magnificent Entertainment Given to King James (The Entertainment through London)
359	203a	17479	Marston, John	The Malcontent
360	203b	17480	Marston, John	The Malcontent
361	203c	17481	Marston, John	The Malcontent
361	203c	17481	Webster, John	The Malcontent
362	204a	6501	Dekker, Thomas	1 The Honest Whore (1 The Converted Courtesan)
917	554aii	M1416	May, Thomas	Julia Agrippina, Empress of Rome
364	204c	6502	Dekker, Thomas	1 The Honest Whore (1 The Converted Courtesan)
365	204d*	6503	Dekker, Thomas	1 The Honest Whore (1 The Converted Courtesan)
367	204d§	6504	Dekker, Thomas	1 The Honest Whore (1 The Converted Courtesan)
366	204d†	6504	Dekker, Thomas	1 The Honest Whore (1 The Converted Courtesan)
368	204e	6505	Dekker, Thomas	1 The Honest Whore (1 The Converted Courtesan)
372	205d	17432	Marlowe, Christopher	Doctor Faustus
373	205e	17433	Marlowe, Christopher	Doctor Faustus
374	205f	17434	Marlowe, Christopher	Doctor Faustus
375	205g	17435	Marlowe, Christopher	Doctor Faustus
376	205h	17435.5	Marlowe, Christopher	Doctor Faustus
377	205i	17436	Marlowe, Christopher	Doctor Faustus
381	208a	12863	Harrison, Stephen	Arches of Triumph (The Entertainment through London)
382	208b	12863a	Harrison, Stephen	Arches of Triumph (The Entertainment through London)
386	212a	21417	Rowley, Samuel	When You See Me You Know Me (Henry the Eighth)
387	212b	21418	Rowley, Samuel	When You See Me You Know Me (Henry the Eighth)
388	212c	21419	Rowley, Samuel	When You See Me You Know Me (Henry the Eighth)
389	212d	21420	Rowley, Samuel	When You See Me You Know Me (Henry the Eighth)
391	214a	17475	Marston, John	The Dutch Courtesan (Cockle de Moye)
401	216a	14782	Jonson, Ben	Sejanus His Fall
402	217ai	4970	Chapman, George	Eastward Ho
402	217ai	4970	Jonson, Ben	Eastward Ho
402	217ai	4970	Marston, John	Eastward Ho
403	217aii	4971	Chapman, George	Eastward Ho
403	217aii	4971	Jonson, Ben	Eastward Ho
403	217aii	4971	Marston, John	Eastward Ho
