1	1515	[1515?]
2	1515	[1515?]
3	1515	[1515?]
4	1518	[1518?]
5	1518	[1518?]
6	1518	[1518?]
7	1518	[1518?]
8	1522	1522
9	1520	[1520?]
10	1528	[c.1528]
11	1525	[c.1525]
12	1531	[1531]
13	1520	[c.1520]
14	1533	1533
15	1533	1533
16	1533	[1533]
17	1533	1533
18	1533	1533
19	1533	1533
20	1533	1533
21	1534	1534
22	1534	1534
23	1530	[1530?]
24	1530	[c.1530]
25	1530	[c.1530]
26	1530	[c.1530]
27	1544	[1544?]
28	1544	[1544?]
29	1544	[1544?]
30	1545	[c.1545]
31	1547	[1547?]
32	1547	[1547?]
33	1547	[1547?]
34	1548	[1548?]
35	1548	[1548?]
36	1551	[1551?]
37	1550	[c.1550]
39	1565	[1565?]
40	1559	1559
41	1559	1559
42	1559	1559
43	1560	1560
44	1560	1560
45	1560	1560
46	1560	1560
49	1560	1560
5003	1560	[1560?]
5004	1560	[1560?]
50	1561	1561
51	1561	1561
249	1598	1598
52	1562	[1562?]
53	1562	[1562?]
54	1562	[1562?]
57	1562	[1562?]
55	1563	1563
56	1563	1563
58	1566	[1566?]
59	1565	1565
60	1565	1565
61	1565	1565
62	1565	1565
63	1565	1565
64	1551	[1551?]
65	1551	[1551?]
66	1551	[1551?]
67	1566	1566
68	1566	[1566]
69	1566	1566
70	1566	[1566]
71	1566	[1566?]
72	1566	1566
73	1566	1566
74	1567	1567
75	1567	1567
76	1568	1568
77	1568	1568
78	1568	1568
80	1558	[1558]
81	1566	[1566?]
82	1569	[1569]
83	1570	[1570?]
84	1570	[1570]
85	1570	[1570?]
86	1570	[1570?]
87	1570	[1570?]
88	1570	1570
89	1571	1571
90	1571	1571
91	1573	1573
92	1573	[1573?]
93	1574	[1574?]
94	1575	1575
5011.01	1575	1575
5013.01	1575	1575
95	1575	1575
96	1575	1575
97	1575	1575
99	1576	[1576]
100	1576	[1576]
98	1575	1575
101	1576	1576
102	1577	1577
103	1578	1578
104	1578	[1578]
105	1578	[1578]
106	1578	[1578]
107	1578	1578
108	1581	[1581]
109	1581	1581
110	1581	1581
111	1584	1584
112	1584	1584
113	1584	1584
114	1584	1584
115	1584	1584
116	1584	1584
117	1584	1584
118	1584	1584
119	1584	1584
120	1584	1584
121	1585	1585
122	1585	1585
123	1585	[1585]
124	1587	1587
126	1588	1588
127	1589	1589
128	1590	1590
129	1590	1590
130	1590	1590
131	1590	1590
5020.01	1591	1591
5024	1592	1592
132	1591	1591
133	1591	1591
134	1591	[1591]
137	1591	1591
138	1591	1591
139	1591	1591
140	1592	1592
141	1592	1592
142	1592	1592
144	1592	1592
143	1592	1592
145	1592	1592
5024.01	1592	1592
